,书名,价格,作者,出版日期,出版社,评分,评论内容,评论数,链接
0,追风筝的人,29,"[美] 卡勒德·胡赛尼 , 李继宏 ", 2006-5 , 上海人民出版社 ,8.9,12岁的阿富汗富家少爷阿米尔与仆人哈桑情同手足。然而，在一场风筝比赛后，发生了一件悲惨不堪的事，阿米尔为自己的懦弱感到自责和痛苦，逼走了哈桑，不久，自己也跟...,441478,https://book.douban.com/subject/1770782/
1,活着,20,余华 , 2012-8-1 , 作家出版社 ,9.3,《活着(新版)》讲述了农村人福贵悲惨的人生遭遇。福贵本是个阔少爷，可他嗜赌如命，终于赌光了家业，一贫如洗。他的父亲被他活活气死，母亲则在穷困中患了重病，福贵...,225873,https://book.douban.com/subject/4913064/
2,围城,19,钱锺书 , 1991-2 , 人民文学出版社 ,8.9,《围城》是钱钟书所著的长篇小说。第一版于1947年由上海晨光出版公司出版。1949年之后，由于政治等方面的原因，本书长期无法在中国大陆和台湾重印，仅在香港出...,265048,https://book.douban.com/subject/1008145/
3,百年孤独,39,"[哥伦比亚] 加西亚·马尔克斯 , 范晔 ", 2011-6 , 南海出版公司 ,9.2,《百年孤独》是魔幻现实主义文学的代表作，描写了布恩迪亚家族七代人的传奇故事，以及加勒比海沿岸小镇马孔多的百年兴衰，反映了拉丁美洲一个世纪以来风云变幻的历史。...,194186,https://book.douban.com/subject/6082808/
4,小王子,22,"[法] 圣埃克苏佩里 , 马振聘 ", 2003-8 , 人民文学出版社 ,9.0,小王子是一个超凡脱俗的仙童，他住在一颗只比他大一丁点儿的小行星上。陪伴他的是一朵他非常喜爱的小玫瑰花。但玫瑰花的虚荣心伤害了小王子对她的感情。小王子告别小行...,363933,https://book.douban.com/subject/1084336/
5,平凡的世界（全三部）,64,路遥 , 2005-1 , 人民文学出版社 ,9.0,《平凡的世界》是一部现实主义小说，也是一部小说形式的家族史。作者浓缩了中国西北农村的历史变迁过程，在小说中全景式地表现了中国当代城乡的社会生活。在近十年的广...,160730,https://book.douban.com/subject/1200840/
6,解忧杂货店,39,"[日] 东野圭吾 , 李盈春 ", 2014-5 , 南海出版公司 ,8.5,现代人内心流失的东西，这家杂货店能帮你找回——僻静的街道旁有一家杂货店，只要写下烦恼投进卷帘门的投信口，第二天就会在店后的牛奶箱里得到回答。因男友身患绝...,428649,https://book.douban.com/subject/25862578/
7,撒哈拉的故事,160,三毛 , 1976 , 皇冠出版社 ,9.0,三毛作品中最膾炙人口的《撒哈拉的故事》﹐由１２篇精采動人的散文結合而成﹐其中＜沙漠中的飯店＞﹐是三毛適應荒涼單調的沙漠生活後﹐重新拾筆的第一篇文字﹐...,114573,https://book.douban.com/subject/1361264/
8,月亮与六便士,39,"[英] 威廉·萨默塞特·毛姆 , 徐淳刚 ", 2017-1-1 , 浙江文艺出版社 ,8.8,“满地都是六便士，他却抬头看见了月亮。”银行家查尔斯，人到中年，事业有成，为了追求内心隐秘的绘画梦想，突然抛妻别子，弃家出走。他深知：人的每一种身份都是一...,58876,https://book.douban.com/subject/26954760/
9,人间失格,16,"太宰治 , 许时嘉 ", 2009年9月 , 吉林出版集团有限责任公司 ,8.3,《人间失格》是日本著名小说家太宰治最具影响力的小说作品，同时也是糸色望（注：动漫《再见！绝望先生》的主角）老师日常生活必备的读物之一。另外在日本轻小说《文学...,103726,https://book.douban.com/subject/4011670/
